local_queryID,time(ms),recall,mrr
0,4.971,0.0,0.0
1,2.899,1.0,1.0
2,1.574,1.0,0.0
3,1.262,1.0,0.0
4,1.315,1.0,1.0
5,1.467,1.0,1.0
6,2.421,1.0,1.0
7,1.487,1.0,0.0
8,1.201,1.0,1.0
9,1.194,1.0,0.0
10,1.451,1.0,0.0
11,1.676,0.0,0.0
12,1.323,0.0,0.0
13,1.313,1.0,0.0
14,1.243,1.0,1.0
15,1.727,0.0,0.0
16,1.122,1.0,0.0
17,1.191,1.0,0.0
18,1.205,1.0,0.0
19,1.64,1.0,0.0
20,1.206,1.0,0.0
21,1.272,1.0,1.0
22,1.647,0.0,0.0
23,1.241,1.0,1.0
24,1.558,1.0,1.0
25,1.21,0.0,0.0
26,1.248,1.0,1.0
27,1.239,1.0,0.0
28,1.112,1.0,0.0
29,1.126,1.0,0.0
30,1.153,1.0,1.0
31,1.143,1.0,0.0
32,1.264,0.0,0.0
33,1.131,1.0,1.0
34,1.064,1.0,1.0
35,1.083,1.0,0.0
36,1.569,0.0,0.0
37,1.665,0.0,0.0
38,1.487,0.0,0.0
39,1.313,1.0,0.0
40,1.287,1.0,0.0
41,1.514,1.0,0.0
42,13.035,1.0,1.0
43,1.956,1.0,1.0
44,1.166,1.0,1.0
45,1.165,1.0,0.0
46,1.146,1.0,1.0
47,1.354,1.0,1.0
48,1.072,1.0,0.0
49,1.106,1.0,0.0
50,1.047,1.0,1.0
51,1.048,1.0,0.0
52,1.089,0.0,0.0
53,1.044,1.0,1.0
54,1.053,0.0,0.0
55,1.238,1.0,1.0
56,1.299,1.0,1.0
57,1.859,1.0,0.0
58,1.761,0.0,0.0
59,1.659,0.0,0.0
60,1.619,1.0,1.0
61,1.911,0.0,0.0
62,1.783,0.0,0.0
63,1.741,1.0,0.0
64,1.733,1.0,1.0
65,1.571,1.0,0.0
66,11.964,1.0,1.0
67,1.415,0.0,0.0
68,1.191,1.0,1.0
69,1.436,1.0,0.0
70,1.391,0.0,0.0
71,1.246,0.0,0.0
72,1.293,1.0,0.0
73,1.216,1.0,0.0
74,1.245,0.0,0.0
75,1.19,1.0,1.0
76,1.232,1.0,0.0
77,1.231,0.0,0.0
78,1.176,1.0,1.0
79,1.168,1.0,1.0
80,1.201,1.0,1.0
81,1.244,1.0,0.0
82,1.486,0.0,0.0
83,1.584,1.0,0.0
84,1.472,1.0,1.0
85,1.559,0.0,0.0
86,1.597,1.0,1.0
87,1.46,1.0,1.0
88,1.627,1.0,1.0
89,1.52,1.0,0.0
90,1.636,0.0,0.0
91,1.566,1.0,1.0
92,1.653,1.0,0.0
93,1.64,0.0,0.0
94,1.245,1.0,1.0
95,1.211,1.0,1.0
96,1.267,1.0,0.0
97,1.323,0.0,0.0
98,1.134,1.0,0.0
99,1.248,0.0,0.0
