local_queryID,time(ms),recall,mrr
0,33.729,0.8,0.0
1,2.062,0.4,0.0
2,1.113,0.4,0.0
3,1.228,0.4,0.0
4,0.847,0.6,0.0
5,0.706,0.8,0.0
6,0.713,1.0,0.0
7,1.534,0.6,0.0
8,0.97,0.8,0.0
9,0.801,0.8,0.0
10,0.738,0.8,0.0
11,0.748,0.8,0.0
12,0.813,0.6,0.0
13,0.733,0.4,0.0
14,0.756,0.6,0.0
15,0.707,1.0,0.0
16,0.716,1.0,0.0
17,13.219,0.6,0.0
18,0.763,0.8,0.0
19,0.74,0.8,0.0
20,0.715,1.0,0.0
21,3.107,0.8,0.0
22,0.755,0.8,0.0
23,0.743,0.2,0.0
24,0.745,0.8,0.0
25,1.113,0.4,0.0
26,1.035,0.8,0.0
27,0.846,0.6,0.0
28,0.891,0.8,0.0
29,0.891,0.8,0.0
30,0.785,1.0,0.0
31,0.816,0.6,0.0
32,0.893,0.8,0.0
33,0.847,0.6,0.0
34,0.772,0.4,0.0
35,0.83,1.0,0.0
36,0.818,0.8,0.0
37,0.783,0.6,0.0
38,0.814,0.2,0.0
39,0.755,0.6,0.0
40,0.776,1.0,0.0
41,0.822,1.0,0.0
42,0.758,0.6,0.0
43,0.736,0.8,0.0
44,0.741,0.8,0.0
45,0.729,0.8,0.0
46,0.812,0.8,0.0
47,0.747,0.8,0.0
48,1.342,1.0,0.0
49,0.857,1.0,0.0
50,0.73,0.8,0.0
51,0.789,0.8,0.0
52,0.78,0.6,0.0
53,0.696,1.0,1.0
54,0.741,0.6,0.0
55,0.691,0.8,1.0
56,0.695,0.6,0.0
57,0.739,0.6,0.0
58,0.696,1.0,0.0
59,0.724,0.6,0.0
60,0.674,0.6,0.0
61,0.765,0.6,0.0
62,0.698,0.6,1.0
63,0.731,1.0,0.0
64,15.315,1.0,1.0
65,0.915,0.8,0.0
66,0.777,1.0,0.0
67,0.945,1.0,1.0
68,0.688,0.8,1.0
69,0.826,0.8,0.0
70,0.743,0.8,1.0
71,0.714,0.6,0.0
72,0.72,0.8,0.0
73,0.795,0.8,1.0
74,0.842,0.4,0.0
75,0.716,1.0,0.0
76,0.802,0.8,0.0
77,0.802,0.6,0.0
78,0.801,0.6,1.0
79,0.899,1.0,0.0
80,0.765,0.4,0.0
81,0.818,0.8,0.0
82,0.779,0.8,1.0
83,0.793,0.6,0.0
84,9.432,0.4,0.0
85,1.472,0.6,1.0
86,1.501,0.8,0.0
87,1.438,0.8,1.0
88,1.475,1.0,0.0
89,1.303,0.8,0.0
90,1.395,0.8,0.0
91,1.393,1.0,1.0
92,9.905,0.4,0.0
93,0.663,0.4,0.0
94,9.355,0.4,0.0
95,10.443,0.8,0.0
96,0.703,0.8,0.0
97,0.688,0.8,0.0
98,0.638,0.8,0.0
99,0.99,0.8,1.0
