local_queryID,time(ms),recall,mrr
0,2.199,0.9,0.0
1,1.188,0.6,0.0
2,1.569,0.7,0.0
3,1.434,0.2,0.0
4,0.842,0.4,0.0
5,0.847,0.8,1.0
6,0.771,0.5,1.0
7,0.744,0.9,0.0
8,0.859,0.8,0.0
9,0.755,0.9,0.0
10,1.065,0.8,0.0
11,1.193,0.5,0.0
12,0.798,0.6,0.0
13,0.796,0.3,0.0
14,0.936,0.6,1.0
15,0.931,0.5,0.0
16,0.867,0.9,1.0
17,16.162,0.7,0.0
18,0.772,0.9,1.0
19,0.826,0.6,0.0
20,0.791,0.4,0.0
21,0.845,0.6,1.0
22,0.801,0.8,0.0
23,0.764,0.6,0.0
24,0.736,0.8,1.0
25,0.942,0.3,0.0
26,0.749,0.5,0.0
27,0.739,0.4,0.0
28,10.836,0.4,0.0
29,0.85,0.4,1.0
30,0.836,0.4,0.0
31,0.784,0.8,1.0
32,0.847,0.6,0.0
33,0.779,0.8,0.0
34,0.797,0.4,0.0
35,16.367,0.6,1.0
36,0.859,0.5,0.0
37,0.798,0.8,0.0
38,0.844,0.8,0.0
39,0.776,0.2,0.0
40,0.778,0.5,0.0
41,0.862,0.8,1.0
42,0.81,0.5,0.0
43,0.807,0.5,0.0
44,0.887,0.7,0.0
45,0.988,0.5,0.0
46,0.936,0.5,0.0
47,30.937,0.7,0.0
48,0.745,0.5,0.0
49,0.736,0.8,1.0
50,0.755,0.3,1.0
51,0.726,0.6,0.0
52,0.727,0.8,0.0
53,0.719,0.7,0.0
54,0.71,0.8,0.0
55,0.718,0.5,0.0
56,0.736,0.4,0.5
57,0.805,0.5,0.0
58,0.758,0.7,1.0
59,0.713,0.4,0.0
60,5.853,0.6,0.0
61,14.871,0.5,0.0
62,0.719,0.3,0.0
63,0.739,0.5,1.0
64,0.714,0.7,1.0
65,0.888,0.6,1.0
66,33.649,0.5,1.0
67,1.461,0.6,1.0
68,1.412,0.7,0.0
69,2.196,0.3,0.0
70,0.795,0.7,1.0
71,0.719,0.8,0.0
72,0.728,0.7,0.0
73,0.745,0.6,1.0
74,0.716,0.3,1.0
75,1.85,0.5,0.0
76,0.76,0.7,0.0
77,0.711,0.5,1.0
78,0.717,0.6,0.0
79,50.506,0.3,0.0
80,1.416,0.6,0.16666666666666666
81,0.852,0.6,0.0
82,0.734,0.9,1.0
83,0.713,0.7,1.0
84,0.735,0.1,0.0
85,0.712,0.6,1.0
86,0.769,0.6,0.125
87,0.779,0.8,1.0
88,0.721,0.8,0.0
89,0.687,0.2,0.0
90,0.706,0.2,0.0
91,0.668,0.8,1.0
92,31.01,0.7,0.0
93,0.825,0.5,1.0
94,0.742,0.7,1.0
95,0.743,0.8,1.0
96,0.715,0.6,0.0
97,0.758,0.7,0.0
98,0.751,0.4,0.0
99,0.77,0.5,1.0
