local_queryID,time(ms),recall,mrr
0,3.125,0.8,0.0
1,2.403,0.8,0.0
2,2.175,0.4,0.0
3,1.714,0.4,0.0
4,1.909,0.6,0.0
5,1.689,0.4,0.0
6,1.941,0.4,0.0
7,1.695,0.8,0.0
8,1.717,0.8,0.0
9,1.8,0.8,0.0
10,1.579,0.6,0.0
11,1.604,0.2,0.0
12,1.626,0.2,0.0
13,1.55,0.4,0.0
14,1.84,0.2,0.0
15,2.356,0.2,0.0
16,1.882,0.6,0.0
17,1.771,0.4,0.0
18,1.893,0.6,0.0
19,2.272,0.2,0.0
20,1.686,0.8,0.0
21,1.779,0.4,0.0
22,1.704,0.4,0.0
23,1.837,0.8,0.0
24,2.001,0.4,0.0
25,11.557,0.4,0.0
26,1.878,0.0,0.0
27,1.314,0.4,0.0
28,36.287,0.6,0.0
29,0.964,0.4,0.0
30,0.917,0.2,0.0
31,1.426,0.4,0.0
32,2.235,0.8,0.0
33,14.1,0.4,0.0
34,0.814,0.4,0.0
35,0.77,0.4,0.0
36,0.824,0.6,0.0
37,0.796,0.0,0.0
38,0.782,0.2,0.0
39,0.79,0.8,0.0
40,0.837,0.4,0.0
41,0.854,0.4,0.0
42,0.817,0.2,0.0
43,0.954,0.6,0.0
44,0.786,0.4,1.0
45,20.948,0.6,1.0
46,0.849,1.0,1.0
47,0.833,0.8,1.0
48,0.778,0.8,1.0
49,0.787,1.0,1.0
50,0.767,1.0,1.0
51,0.857,0.8,1.0
52,0.805,0.2,0.0
53,0.804,0.4,1.0
54,0.811,0.6,1.0
55,0.761,1.0,1.0
56,0.848,1.0,1.0
57,20.999,0.4,0.0
58,0.911,1.0,1.0
59,0.829,0.6,1.0
60,0.85,0.8,1.0
61,0.958,0.8,1.0
62,0.838,0.6,1.0
63,0.859,0.8,0.0
64,0.984,0.8,1.0
65,0.856,1.0,1.0
66,0.849,0.8,1.0
67,0.91,0.8,0.0
68,21.075,0.6,0.0
69,1.226,0.4,0.0
70,1.341,0.4,0.0
71,1.043,0.4,0.0
72,1.089,0.4,0.0
73,0.942,0.6,0.0
74,0.999,0.6,0.0
75,0.933,0.6,0.0
76,1.025,0.2,0.0
77,21.956,0.8,0.0
78,0.886,1.0,0.0
79,0.878,0.0,0.0
80,0.856,0.8,0.0
81,0.877,0.6,0.0
82,0.862,1.0,0.0
83,0.858,1.0,0.0
84,0.874,0.2,0.0
85,0.91,0.2,0.0
86,0.904,0.6,0.0
87,0.985,0.4,0.0
88,21.686,0.8,0.0
89,1.598,0.0,0.0
90,1.652,0.6,0.0
91,1.615,0.6,0.0
92,1.628,0.4,0.0
93,1.638,0.4,0.0
94,12.909,0.2,0.0
95,0.952,0.2,0.0
96,15.088,0.6,0.0
97,0.823,1.0,0.0
98,15.092,0.6,0.0
99,0.969,0.0,0.0
