local_queryID,time(ms),recall,mrr
0,2.832,0.6,0.0
1,1.953,0.6,1.0
2,1.827,0.6,0.0
3,1.811,0.7,0.0
4,2.094,0.5,0.0
5,1.915,0.6,0.0
6,1.959,0.4,0.0
7,1.865,0.8,1.0
8,2.045,0.8,1.0
9,1.917,0.8,1.0
10,2.118,0.4,1.0
11,1.935,0.3,0.0
12,1.292,0.6,1.0
13,1.238,0.6,1.0
14,1.38,0.1,0.0
15,1.203,0.2,0.0
16,1.194,0.8,0.0
17,1.073,0.7,0.0
18,1.166,0.4,1.0
19,1.31,0.1,0.0
20,1.177,0.5,1.0
21,1.109,0.6,0.0
22,1.14,0.2,0.0
23,1.135,0.4,1.0
24,1.23,0.4,0.0
25,1.222,0.5,0.0
26,1.175,0.1,0.0
27,1.109,0.5,1.0
28,1.146,0.4,1.0
29,1.387,0.7,0.0
30,1.437,0.9,1.0
31,1.388,0.8,1.0
32,2.046,0.4,0.0
33,1.68,0.3,0.0
34,1.038,0.4,0.0
35,1.303,0.4,0.0
36,1.457,0.5,0.0
37,1.169,0.6,1.0
38,1.391,0.7,0.0
39,1.211,0.5,1.0
40,1.269,0.6,1.0
41,1.369,0.7,1.0
42,1.074,0.4,0.0
43,1.488,0.5,0.0
44,0.927,0.8,1.0
45,1.012,0.3,0.0
46,1.021,0.7,1.0
47,0.928,0.9,1.0
48,1.122,0.3,1.0
49,1.005,0.5,0.0
50,0.894,0.7,1.0
51,0.902,0.4,1.0
52,1.0,0.6,0.0
53,1.04,0.3,1.0
54,1.101,0.4,1.0
55,0.846,0.4,0.0
56,0.925,0.7,1.0
57,0.865,0.8,0.0
58,0.85,0.4,1.0
59,0.804,0.4,1.0
60,0.794,0.4,0.0
61,0.898,0.8,1.0
62,0.833,0.6,0.0
63,0.894,0.7,1.0
64,0.846,0.6,1.0
65,0.843,0.5,0.0
66,0.753,0.7,0.0
67,0.777,0.4,0.0
68,0.87,0.6,0.0
69,0.924,0.6,0.0
70,0.896,0.3,1.0
71,0.801,0.3,1.0
72,0.923,0.5,0.0
73,0.861,0.7,0.0
74,0.888,0.6,0.0
75,0.846,0.5,0.0
76,0.971,0.6,0.0
77,0.925,0.3,0.0
78,0.902,0.5,0.25
79,0.789,0.3,1.0
80,0.892,0.5,0.0
81,0.941,0.5,0.0
82,0.905,0.6,0.0
83,0.89,0.7,0.0
84,0.86,0.2,0.0
85,0.884,0.5,0.0
86,0.894,0.4,1.0
87,0.868,0.6,1.0
88,0.897,0.6,1.0
89,0.927,0.5,1.0
90,0.968,0.4,0.0
91,0.873,0.8,0.0
92,0.944,0.3,0.0
93,0.872,0.6,1.0
94,0.808,0.4,1.0
95,0.862,0.7,0.0
96,0.811,0.4,1.0
97,0.935,0.4,0.0
98,0.839,0.6,1.0
99,0.896,0.2,0.0
