local_queryID,time(ms),recall,mrr
0,1.413,0.7,1.0
1,1.015,0.5,1.0
2,0.885,0.2,1.0
3,0.864,0.2,1.0
4,0.792,0.1,1.0
5,0.723,0.7,1.0
6,0.774,0.2,1.0
7,0.875,0.9,1.0
8,1.039,0.5,1.0
9,0.842,0.7,1.0
10,0.856,0.3,1.0
11,0.787,0.3,0.0
12,0.864,0.5,1.0
13,0.83,0.0,0.0
14,0.759,0.2,1.0
15,0.846,0.4,1.0
16,0.719,0.2,1.0
17,0.757,0.0,0.0
18,0.833,0.8,1.0
19,0.696,0.0,0.0
20,0.745,0.2,1.0
21,0.829,0.6,1.0
22,0.769,0.2,0.0
23,0.771,0.0,0.0
24,0.813,0.5,1.0
25,0.776,0.4,1.0
26,0.738,0.3,1.0
27,0.703,0.0,0.0
28,0.768,0.1,1.0
29,0.84,0.8,1.0
30,0.789,0.9,1.0
31,0.779,0.8,1.0
32,0.783,0.3,1.0
33,0.752,0.0,0.0
34,0.797,0.2,0.0
35,0.711,0.0,0.0
36,0.741,0.4,0.0
37,0.765,0.2,0.0
38,0.721,0.4,0.0
39,0.739,0.0,0.0
40,0.735,0.1,1.0
41,0.843,0.4,1.0
42,0.682,0.1,0.0
43,0.778,0.4,1.0
44,0.703,0.3,0.0
45,0.748,0.3,0.0
46,0.839,0.6,1.0
47,0.783,0.4,1.0
48,0.833,0.6,1.0
49,0.763,0.5,1.0
50,0.7,0.2,0.0
51,0.948,0.4,1.0
52,0.698,0.1,0.0
53,0.777,0.4,1.0
54,0.844,0.2,1.0
55,0.874,0.4,1.0
56,0.9,0.4,1.0
57,0.775,0.2,0.0
58,0.727,0.4,1.0
59,0.751,0.3,1.0
60,0.657,0.0,0.0
61,0.793,0.3,1.0
62,0.659,0.3,1.0
63,0.816,0.8,1.0
64,0.874,0.8,1.0
65,0.711,0.2,0.0
66,0.727,0.8,1.0
67,0.633,0.6,1.0
68,0.714,0.5,1.0
69,0.857,0.3,0.0
70,0.788,0.8,1.0
71,0.777,0.3,1.0
72,0.76,0.3,1.0
73,0.703,0.3,1.0
74,0.732,0.2,1.0
75,0.767,0.1,0.0
76,0.7,0.2,0.0
77,0.839,0.2,0.0
78,0.777,0.2,0.0
79,0.749,0.2,1.0
80,0.692,0.4,1.0
81,0.769,0.6,1.0
82,0.736,0.7,1.0
83,0.762,0.4,0.0
84,0.698,0.3,0.0
85,0.718,0.5,1.0
86,0.763,0.0,0.0
87,0.712,0.8,1.0
88,0.747,0.5,1.0
89,0.798,0.4,1.0
90,0.798,0.2,1.0
91,0.747,0.5,1.0
92,0.735,0.3,0.0
93,0.799,0.6,1.0
94,0.837,0.9,1.0
95,0.786,0.9,1.0
96,0.742,0.3,1.0
97,0.805,0.6,1.0
98,0.7,0.1,0.0
99,0.738,0.4,1.0
