local_queryID,time(ms),recall,mrr
0,1.234,0.6,0.0
1,1.001,0.6,0.0
2,0.914,0.5,0.0
3,0.904,0.5,1.0
4,0.846,0.6,1.0
5,0.838,0.4,0.0
6,0.87,0.7,0.0
7,0.849,0.5,0.0
8,0.979,0.6,0.0
9,0.803,0.6,0.0
10,0.955,0.7,1.0
11,0.899,0.2,1.0
12,0.849,0.7,1.0
13,0.845,0.5,1.0
14,0.778,0.6,1.0
15,0.826,0.6,1.0
16,0.729,0.3,0.0
17,0.756,0.5,1.0
18,0.814,0.7,1.0
19,0.916,0.7,1.0
20,0.888,0.4,0.0
21,0.842,0.4,0.0
22,0.877,0.4,1.0
23,0.719,0.4,1.0
24,0.816,0.5,0.0
25,0.889,0.8,1.0
26,0.798,0.4,1.0
27,0.849,0.5,1.0
28,0.842,0.2,0.0
29,0.726,0.6,1.0
30,0.862,0.7,0.0
31,0.726,0.5,1.0
32,0.918,0.4,0.0
33,0.671,0.2,0.0
34,0.769,0.4,1.0
35,0.873,0.6,0.0
36,0.797,0.4,0.0
37,0.813,0.5,0.0
38,0.815,0.4,0.0
39,0.736,0.6,1.0
40,0.737,0.5,1.0
41,0.816,0.7,1.0
42,0.696,0.3,0.0
43,0.767,0.4,0.0
44,0.812,0.7,0.0
45,0.854,0.8,1.0
46,0.72,0.3,0.0
47,0.725,0.7,0.0
48,0.728,0.7,1.0
49,0.71,0.7,0.0
50,0.805,0.6,1.0
51,0.754,0.1,0.0
52,0.94,0.5,1.0
53,0.818,0.6,1.0
54,0.743,0.3,0.0
55,0.715,0.3,0.0
56,0.8,0.6,0.0
57,0.83,0.3,0.0
58,0.726,0.5,1.0
59,0.689,0.4,1.0
60,0.734,0.9,1.0
61,0.812,0.4,0.0
62,0.817,0.3,0.0
63,0.706,0.6,1.0
64,0.751,0.9,1.0
65,0.79,0.9,0.0
66,0.769,0.4,0.0
67,0.861,0.7,0.0
68,0.73,0.6,0.0
69,0.872,0.7,1.0
70,0.855,0.7,0.0
71,1.002,0.7,1.0
72,0.783,0.5,0.0
73,0.711,0.6,0.0
74,0.829,0.3,0.0
75,0.766,0.5,0.0
76,0.831,0.5,0.0
77,0.775,0.5,1.0
78,0.751,0.6,1.0
79,0.724,0.3,1.0
80,0.846,0.8,1.0
81,0.805,0.5,0.0
82,0.793,0.6,0.0
83,0.805,0.5,0.0
84,0.833,0.5,1.0
85,0.729,0.0,0.0
86,0.85,0.5,0.0
87,0.658,0.5,1.0
88,0.751,0.6,0.0
89,0.641,0.7,1.0
90,0.818,0.5,1.0
91,0.748,0.6,0.0
92,0.805,0.3,1.0
93,0.67,0.3,1.0
94,0.769,0.4,1.0
95,0.731,0.6,0.0
96,0.784,0.7,1.0
97,0.757,0.6,1.0
98,0.691,0.6,0.0
99,0.763,0.2,0.0
