local_queryID,time(ms),recall,mrr
0,1.233,1.0,1.0
1,0.856,1.0,0.0
2,0.772,0.8,1.0
3,0.686,0.8,0.0
4,0.727,0.6,0.0
5,0.675,1.0,1.0
6,0.767,0.8,1.0
7,0.809,1.0,1.0
8,0.804,1.0,0.0
9,0.802,1.0,0.0
10,0.791,0.8,1.0
11,0.792,0.8,0.0
12,0.774,0.6,0.0
13,0.757,0.2,0.0
14,1.069,1.0,1.0
15,0.745,0.4,0.0
16,0.739,0.8,0.0
17,0.719,0.4,0.0
18,0.716,0.6,1.0
19,0.871,0.6,0.0
20,0.644,0.6,0.0
21,0.723,0.4,0.0
22,0.719,0.4,0.0
23,0.718,1.0,0.0
24,0.744,0.6,1.0
25,0.74,0.4,0.0
26,0.651,0.6,0.0
27,0.749,0.4,0.0
28,0.637,0.6,0.0
29,0.702,0.2,0.0
30,0.636,0.8,0.0
31,0.751,0.8,0.0
32,0.766,0.8,1.0
33,0.675,0.4,0.0
34,0.652,0.8,0.0
35,0.738,1.0,1.0
36,0.674,0.6,0.0
37,0.781,0.8,0.0
38,0.79,0.4,0.0
39,0.723,0.4,0.0
40,0.784,1.0,1.0
41,0.814,0.8,0.0
42,0.764,0.4,0.0
43,0.752,0.8,0.0
44,0.837,0.6,0.0
45,0.804,0.8,0.0
46,0.842,1.0,0.0
47,0.799,0.6,0.0
48,0.793,0.2,0.0
49,0.843,1.0,0.0
50,0.791,0.8,1.0
51,0.8,0.4,0.0
52,0.827,0.8,1.0
53,0.698,0.8,0.5
54,0.795,0.6,0.0
55,0.736,0.6,0.0
56,0.781,1.0,0.0
57,0.685,0.6,0.0
58,0.769,0.8,0.0
59,0.739,0.4,0.0
60,0.738,1.0,0.0
61,0.803,0.6,0.0
62,0.779,0.2,0.0
63,0.768,0.8,0.0
64,0.768,0.8,0.0
65,0.728,0.8,1.0
66,0.812,0.6,1.0
67,0.779,0.8,1.0
68,0.655,0.8,0.0
69,0.796,1.0,1.0
70,0.807,1.0,0.0
71,0.791,0.8,0.0
72,0.793,0.8,1.0
73,0.766,0.6,0.0
74,0.688,0.4,0.0
75,0.78,1.0,0.0
76,0.793,1.0,1.0
77,0.756,0.4,0.0
78,0.762,0.6,0.0
79,0.761,1.0,1.0
80,0.712,1.0,0.0
81,0.794,1.0,0.0
82,0.809,1.0,0.0
83,0.886,0.8,0.0
84,0.755,0.4,0.0
85,0.677,0.2,0.0
86,0.751,0.8,0.0
87,0.647,0.8,1.0
88,0.64,0.8,0.0
89,0.699,0.6,0.0
90,0.717,1.0,0.0
91,0.668,0.6,0.0
92,0.701,1.0,0.0
93,0.69,0.8,0.0
94,0.622,0.4,0.0
95,0.708,0.6,0.0
96,0.732,0.6,0.0
97,0.708,0.6,0.0
98,0.922,0.8,0.0
99,0.609,0.2,1.0
