local_queryID,time(ms),recall,mrr
0,1.411,0.6,0.0
1,2.308,0.7,0.0
2,1.52,0.4,0.0
3,1.741,0.4,0.0
4,1.492,0.3,0.0
5,1.525,0.2,0.0
6,1.745,0.1,0.0
7,1.557,0.4,0.0
8,0.888,0.3,0.0
9,0.994,0.5,0.0
10,0.871,0.3,0.0
11,0.788,0.4,0.0
12,0.886,0.9,0.0
13,0.794,0.6,0.0
14,0.989,0.4,0.0
15,0.817,0.6,0.0
16,1.077,0.2,0.0
17,1.038,0.4,0.0
18,0.944,0.3,0.0
19,0.971,0.3,0.0
20,0.79,0.6,0.0
21,0.808,0.3,0.0
22,0.799,0.3,0.0
23,0.795,0.5,0.0
24,0.801,0.4,0.0
25,0.766,0.6,0.0
26,0.732,0.4,0.0
27,0.77,0.2,0.0
28,0.718,0.4,0.0
29,0.632,0.4,0.0
30,0.728,0.4,0.0
31,0.772,1.0,0.0
32,0.803,0.4,0.0
33,0.72,0.6,0.0
34,0.66,0.4,0.0
35,0.694,0.5,0.0
36,0.768,0.5,0.0
37,0.677,0.5,0.0
38,0.674,0.5,0.0
39,0.744,0.4,0.0
40,0.713,0.5,0.0
41,0.728,0.3,0.0
42,0.727,0.3,0.0
43,0.658,0.6,0.0
44,0.66,0.6,1.0
45,0.743,0.7,1.0
46,0.737,0.6,1.0
47,0.735,0.9,1.0
48,0.721,0.7,1.0
49,0.733,0.7,1.0
50,0.734,0.7,1.0
51,0.761,0.6,1.0
52,0.64,0.1,0.0
53,0.856,0.7,1.0
54,0.682,0.1,0.0
55,0.922,0.7,1.0
56,0.742,0.8,1.0
57,0.741,0.5,1.0
58,0.706,0.8,1.0
59,0.658,0.5,1.0
60,0.654,0.5,1.0
61,0.681,0.5,1.0
62,0.685,0.3,1.0
63,0.69,0.8,0.0
64,0.696,0.5,1.0
65,0.678,0.6,1.0
66,0.67,0.9,1.0
67,0.641,0.0,0.0
68,0.677,0.5,0.0
69,0.76,0.7,0.0
70,0.668,0.4,0.0
71,0.875,0.7,0.0
72,0.666,0.2,0.0
73,0.646,0.6,0.0
74,0.725,0.5,0.0
75,0.726,0.2,0.0
76,0.666,0.9,0.0
77,0.69,0.6,0.0
78,0.658,0.7,0.0
79,0.684,0.2,0.0
80,0.638,0.6,0.0
81,0.626,0.6,0.0
82,0.624,0.6,0.0
83,0.765,0.5,0.0
84,0.677,0.3,0.0
85,0.644,0.4,0.0
86,1.131,0.5,0.0
87,1.332,0.6,0.0
88,0.677,0.5,0.0
89,0.667,0.5,0.0
90,0.72,0.6,0.0
91,0.65,0.3,0.0
92,0.667,0.4,0.0
93,1.018,0.5,0.0
94,0.783,0.4,0.0
95,0.739,0.5,0.0
96,0.761,0.5,0.0
97,0.66,0.7,0.0
98,0.721,0.5,0.0
99,0.679,0.4,0.0
