local_queryID,time(ms),recall,mrr
0,2.012,1.0,0.0
1,0.801,0.8,0.0
2,0.973,1.0,0.0
3,1.282,0.4,0.0
4,1.029,0.8,0.0
5,0.666,1.0,1.0
6,0.703,0.8,1.0
7,0.843,1.0,1.0
8,0.781,1.0,0.0
9,0.791,1.0,0.0
10,0.768,0.6,0.0
11,0.706,0.6,0.0
12,0.711,0.4,0.0
13,0.742,0.6,0.0
14,0.667,0.4,1.0
15,0.886,0.4,0.0
16,0.954,1.0,1.0
17,0.901,0.6,0.0
18,0.722,0.8,0.0
19,0.633,0.8,0.0
20,0.709,0.4,1.0
21,0.711,0.6,0.0
22,0.613,0.8,0.0
23,0.791,0.4,0.0
24,0.644,0.8,1.0
25,0.69,0.6,0.0
26,0.666,0.8,1.0
27,0.698,0.6,1.0
28,0.649,0.4,0.0
29,0.581,0.6,0.0
30,0.759,0.2,0.0
31,0.581,0.4,0.0
32,0.595,0.8,0.0
33,0.584,0.6,1.0
34,0.645,0.6,0.0
35,0.613,1.0,1.0
36,0.628,0.2,0.0
37,0.571,0.4,0.0
38,0.743,0.2,0.0
39,0.744,0.8,1.0
40,0.792,1.0,0.0
41,0.592,0.6,0.0
42,0.754,0.6,0.0
43,0.622,1.0,0.0
44,0.619,0.6,0.0
45,0.846,0.4,0.0
46,0.613,1.0,0.0
47,0.615,0.2,0.0
48,0.65,0.6,1.0
49,0.572,1.0,1.0
50,0.772,0.8,0.0
51,0.638,0.4,0.0
52,0.613,0.4,0.0
53,0.747,0.4,0.0
54,0.65,0.4,0.0
55,0.643,0.6,0.0
56,0.625,0.6,0.5
57,0.694,0.6,0.0
58,0.66,0.6,0.0
59,0.633,0.6,0.0
60,0.733,0.2,0.0
61,0.647,0.4,0.0
62,0.567,0.6,0.0
63,0.628,0.6,0.0
64,0.826,1.0,1.0
65,0.833,0.8,1.0
66,0.633,0.8,1.0
67,0.781,0.6,0.0
68,0.603,0.6,0.0
69,0.734,0.6,0.0
70,0.682,0.6,1.0
71,0.615,0.6,0.0
72,0.709,0.6,0.0
73,0.62,0.4,0.0
74,0.633,0.2,1.0
75,0.666,0.6,0.0
76,0.574,0.4,0.0
77,0.602,0.8,1.0
78,0.56,0.8,0.0
79,0.624,0.2,0.0
80,0.54,0.8,0.0
81,0.593,0.8,0.0
82,0.592,1.0,1.0
83,0.603,0.6,1.0
84,0.543,0.4,0.0
85,0.515,0.6,1.0
86,0.614,0.6,0.0
87,0.588,0.8,0.0
88,0.95,0.4,0.0
89,0.551,0.4,0.0
90,0.641,0.2,0.0
91,0.734,0.4,1.0
92,1.687,0.6,0.0
93,1.46,0.8,0.0
94,0.722,0.8,1.0
95,0.625,0.8,1.0
96,0.622,0.6,0.0
97,0.607,0.8,0.0
98,1.483,0.6,0.0
99,1.29,0.2,0.0
